Time,Convergence_distance,fms,Left_Eye_Openness,Right_Eye_Openness,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,Unnamed: 40,individual,simulation,CSS
04-13-36,1.443,1,0.708,0.87,3.478,3.396,0.299,0.74,0.34,0.646,-0.009,-0.002,-0.028,-0.17,-0.184,0.928,-60.796,2.548,64.198,-0.193,-0.343,-0.765,37.368,-3.197,-29.462,-26.578,-1.043,-27.348,0.159,-0.148,0.889,0.171,-0.196,0.922,,8,beach,Mid
04-13-37,1.423,1,0.622,0.914,3.308,3.509,0.226,0.724,0.31,0.707,-0.009,-0.003,-0.027,-0.195,-0.3,0.908,-57.989,2.44,61.547,0.554,-0.487,-0.256,37.699,-4.465,-29.061,-25.989,-2.152,-27.456,0.167,-0.242,0.797,0.19,-0.295,0.867,,8,beach,Mid
04-13-38,2.598,1,1.0,1.0,3.658,3.477,0.372,0.654,0.416,0.582,-0.002,-0.001,-0.028,-0.034,0.031,0.993,-60.562,2.57,64.486,0.622,-0.146,0.761,36.231,-2.016,-29.214,-28.131,-0.119,-27.691,0.023,0.027,0.994,0.034,0.025,0.994,,8,beach,Mid
04-13-39,2.17,1,0.869,0.999,3.593,3.403,0.323,0.677,0.369,0.593,-0.012,-0.001,-0.028,-0.127,-0.053,0.982,-60.653,2.584,64.49,0.258,-0.133,0.926,37.13,-2.398,-28.932,-27.154,-0.14,-27.493,0.124,-0.049,0.982,0.127,-0.06,0.982,,8,beach,Mid
04-13-40,1.26,1,0.785,0.899,3.537,3.252,0.363,0.708,0.404,0.632,0.013,-0.002,-0.029,-0.049,-0.172,0.966,-60.91,2.575,71.818,0.143,-0.279,0.891,36.399,-2.713,-29.167,-27.849,-0.588,-27.729,0.034,-0.155,0.97,0.048,-0.196,0.958,,8,beach,Mid
04-13-41,1.129,1,1.0,1.0,3.547,3.347,0.422,0.66,0.44,0.588,0.005,-0.001,-0.029,0.066,-0.077,0.97,-60.966,2.555,75.448,0.842,-0.333,-0.232,35.326,-1.641,-29.474,-28.423,0.154,-27.688,-0.096,-0.071,0.975,-0.06,-0.072,0.966,,8,beach,Mid
04-13-42,1.602,1,0.866,0.89,3.676,3.292,0.371,0.695,0.403,0.611,-0.004,-0.001,-0.028,-0.02,-0.162,0.971,-61.039,2.588,75.693,0.051,-0.217,-0.953,36.298,-2.404,-29.113,-27.76,-0.196,-27.266,0.003,-0.146,0.978,0.032,-0.178,0.966,,8,beach,Mid
04-13-43,1.054,1,0.574,0.742,3.45,2.872,0.264,0.734,0.253,0.558,0.007,-0.002,-0.026,-0.215,-0.203,0.95,-55.457,2.352,68.829,-0.023,-0.182,-0.799,38.211,-3.072,-29.305,-26.031,-0.542,-27.274,0.211,-0.188,0.863,0.21,-0.209,0.811,,8,beach,Mid
04-13-44,0.261,1,0.746,0.781,3.75,2.98,0.377,0.757,0.381,0.681,0.007,-0.002,-0.028,-0.044,-0.338,0.932,-60.976,2.574,75.697,-0.08,-0.447,-0.879,36.163,-3.452,-29.143,-27.398,-1.216,-27.405,-0.015,-0.287,0.949,0.093,-0.394,0.907,,8,beach,Mid
04-13-45,0.333,1,0.796,0.991,3.922,3.129,0.311,0.711,0.351,0.623,0.007,-0.002,-0.028,-0.138,-0.194,0.966,-60.963,2.582,75.693,-0.04,-0.223,-0.97,37.41,-2.765,-29.083,-26.739,-0.351,-27.088,0.131,-0.164,0.972,0.15,-0.229,0.909,,8,beach,Mid
